Size,TestCase,Algorithm,Cost,TimeMs
20,7,SeedDNA_N,375,0
20,7,SeedDNA_2N,375,1
20,7,SeedDNA_3N,375,4
20,7,SeedDNA_6N,375,3
20,7,SeedDNA_9N,375,3
20,8,Greedy,370,0
20,8,2-Opt,366,0
20,8,SA,355,24
20,8,GA,376,9
20,8,ACO,355,47
20,8,SeedDNA_N,355,1
20,8,SeedDNA_2N,441,2
20,8,SeedDNA_3N,441,2
20,8,SeedDNA_6N,441,3
20,8,SeedDNA_9N,441,5
20,9,Greedy,440,1
20,9,2-Opt,391,0
20,9,SA,391,28
20,9,GA,423,11
20,9,ACO,391,45
20,9,SeedDNA_N,391,2
20,9,SeedDNA_2N,391,1
20,9,SeedDNA_3N,391,2
20,9,SeedDNA_6N,391,5
20,9,SeedDNA_9N,391,8
20,10,Greedy,371,0
20,10,2-Opt,342,0
20,10,SA,329,27
20,10,GA,333,10
20,10,ACO,329,47
20,10,SeedDNA_N,329,1
20,10,SeedDNA_2N,329,1
20,10,SeedDNA_3N,329,2
20,10,SeedDNA_6N,329,2
20,10,SeedDNA_9N,329,6
20,11,Greedy,502,0
20,11,2-Opt,428,0
20,11,SA,396,26
20,11,GA,447,8
20,11,ACO,396,49
20,11,SeedDNA_N,396,1
20,11,SeedDNA_2N,396,2
20,11,SeedDNA_3N,396,2
20,11,SeedDNA_6N,396,5
20,11,SeedDNA_9N,396,3
20,12,Greedy,425,0
20,12,2-Opt,346,0
20,12,SA,346,49
20,12,GA,386,35
20,12,ACO,346,57
20,12,SeedDNA_N,346,2
20,12,SeedDNA_2N,346,1
20,12,SeedDNA_3N,346,2
20,12,SeedDNA_6N,346,3
20,12,SeedDNA_9N,346,3
30,1,Greedy,533,0
30,1,2-Opt,499,0
30,1,SA,478,26
30,1,GA,524,14
30,1,ACO,489,128
30,1,SeedDNA_N,465,2
30,1,SeedDNA_2N,465,2
30,1,SeedDNA_3N,465,5
30,1,SeedDNA_6N,465,8
30,1,SeedDNA_9N,465,10
30,2,Greedy,481,0
30,2,2-Opt,463,0
30,2,SA,431,29
30,2,GA,443,14
30,2,ACO,426,109
30,2,SeedDNA_N,426,5
30,2,SeedDNA_2N,426,3
30,2,SeedDNA_3N,426,5
30,2,SeedDNA_6N,426,6
30,2,SeedDNA_9N,426,13
30,3,Greedy,581,0
30,3,2-Opt,533,0
30,3,SA,495,26
30,3,GA,613,16
30,3,ACO,501,112
30,3,SeedDNA_N,495,3
30,3,SeedDNA_2N,495,8
30,3,SeedDNA_3N,495,5
30,3,SeedDNA_6N,495,10
30,3,SeedDNA_9N,495,9
30,4,Greedy,683,0
30,4,2-Opt,498,0
30,4,SA,512,38
30,4,GA,518,15
30,4,ACO,502,109
30,4,SeedDNA_N,498,4
30,4,SeedDNA_2N,498,3
30,4,SeedDNA_3N,498,5
30,4,SeedDNA_6N,498,6
30,4,SeedDNA_9N,498,15
30,5,Greedy,480,0
30,5,2-Opt,462,0
30,5,SA,427,31
30,5,GA,429,14
30,5,ACO,427,116
30,5,SeedDNA_N,427,2
30,5,SeedDNA_2N,427,4
30,5,SeedDNA_3N,427,3
30,5,SeedDNA_6N,427,6
30,5,SeedDNA_9N,427,14
30,6,Greedy,667,0
30,6,2-Opt,511,0
30,6,SA,506,28
30,6,GA,516,14
30,6,ACO,514,109
30,6,SeedDNA_N,507,2
30,6,SeedDNA_2N,507,3
30,6,SeedDNA_3N,507,5
30,6,SeedDNA_6N,507,6
30,6,SeedDNA_9N,507,8
30,7,Greedy,561,0
30,7,2-Opt,479,0
30,7,SA,459,29
30,7,GA,489,14
30,7,ACO,459,114
30,7,SeedDNA_N,503,3
30,7,SeedDNA_2N,464,4
30,7,SeedDNA_3N,464,3
30,7,SeedDNA_6N,464,7
30,7,SeedDNA_9N,464,8
30,8,Greedy,553,0
30,8,2-Opt,486,0
30,8,SA,466,35
30,8,GA,564,15
30,8,ACO,466,109
30,8,SeedDNA_N,468,2
30,8,SeedDNA_2N,468,4
30,8,SeedDNA_3N,468,2
30,8,SeedDNA_6N,468,5
30,8,SeedDNA_9N,468,9
30,9,Greedy,579,0
30,9,2-Opt,472,0
30,9,SA,455,32
30,9,GA,556,13
30,9,ACO,455,104
30,9,SeedDNA_N,577,2
30,9,SeedDNA_2N,464,4
30,9,SeedDNA_3N,464,2
30,9,SeedDNA_6N,464,6
30,9,SeedDNA_9N,464,7
30,10,Greedy,574,0
30,10,2-Opt,470,0
30,10,SA,429,29
30,10,GA,530,15
30,10,ACO,429,100
30,10,SeedDNA_N,437,3
30,10,SeedDNA_2N,437,2
30,10,SeedDNA_3N,437,4
30,10,SeedDNA_6N,437,7
30,10,SeedDNA_9N,437,10
30,11,Greedy,560,0
30,11,2-Opt,497,0
30,11,SA,476,37
30,11,GA,576,14
30,11,ACO,478,107
30,11,SeedDNA_N,535,7
30,11,SeedDNA_2N,523,4
30,11,SeedDNA_3N,508,6
30,11,SeedDNA_6N,523,5
30,11,SeedDNA_9N,523,7
30,12,Greedy,575,0
30,12,2-Opt,518,1
30,12,SA,479,30
30,12,GA,564,14
